hour,street_type,unique_devices,n_sensors,devices_per_sensor
8,Regular,7695,13,591.923076923077
9,Regular,8227,13,632.846153846154
10,Regular,8828,13,679.076923076923
11,Regular,10104,13,777.230769230769
12,Regular,12273,13,944.076923076923
13,Regular,12624,13,971.076923076923
14,Regular,12334,13,948.769230769231
15,Regular,12925,13,994.230769230769
16,Regular,13787,13,1060.53846153846
17,Regular,14929,13,1148.38461538462
18,Regular,15358,13,1181.38461538462
19,Regular,14242,13,1095.53846153846
20,Regular,12825,13,986.538461538461
21,Regular,11685,13,898.846153846154
22,Regular,9574,13,736.461538461539
23,Regular,6858,13,527.538461538462
0,Regular,4585,13,352.692307692308
1,Regular,3200,13,246.153846153846
2,Regular,2240,13,172.307692307692
3,Regular,1691,13,130.076923076923
4,Regular,1324,13,101.846153846154
5,Regular,1935,13,148.846153846154
6,Regular,3005,13,231.153846153846
7,Regular,4695,13,361.153846153846
8,Pedestrian,4605,7,657.857142857143
9,Pedestrian,4971,7,710.142857142857
10,Pedestrian,5672,7,810.285714285714
11,Pedestrian,6286,7,898
12,Pedestrian,7936,7,1133.71428571429
13,Pedestrian,8505,7,1215
14,Pedestrian,8378,7,1196.85714285714
15,Pedestrian,8571,7,1224.42857142857
16,Pedestrian,9113,7,1301.85714285714
17,Pedestrian,9837,7,1405.28571428571
18,Pedestrian,10410,7,1487.14285714286
19,Pedestrian,9762,7,1394.57142857143
20,Pedestrian,8924,7,1274.85714285714
21,Pedestrian,8478,7,1211.14285714286
22,Pedestrian,6746,7,963.714285714286
23,Pedestrian,5087,7,726.714285714286
0,Pedestrian,3448,7,492.571428571429
1,Pedestrian,2686,7,383.714285714286
2,Pedestrian,1958,7,279.714285714286
3,Pedestrian,1371,7,195.857142857143
4,Pedestrian,1044,7,149.142857142857
5,Pedestrian,1298,7,185.428571428571
6,Pedestrian,1800,7,257.142857142857
7,Pedestrian,2800,7,400
