time_period,origin,destination,n_trips
1_Morning (7-10),cafeteria_dorm_side,TMB_back,550
1_Morning (7-10),104_back,bus_station,444
1_Morning (7-10),108_front_outside,lake,384
1_Morning (7-10),cafeteria_dorm_side,lake,265
1_Morning (7-10),cafeteria_dorm_side,gym_front,261
1_Morning (7-10),202_front,lake,214
1_Morning (7-10),104_back,lake,205
1_Morning (7-10),dorm_front,TMB_back,188
1_Morning (7-10),btw_201_102,bus_station,171
1_Morning (7-10),parking_dorm,TMB_back,165
1_Morning (7-10),203_front,lake,151
1_Morning (7-10),cafeteria_dorm_side,parking_dorm,130
1_Morning (7-10),202_back_further,lake,121
1_Morning (7-10),bridge_main_engineer,lake,121
1_Morning (7-10),108_front_outside,TMB_back,118
2_Evening (17-20),104_back,bus_station,1028
2_Evening (17-20),108_front_outside,lake,757
2_Evening (17-20),cafeteria_dorm_side,TMB_back,644
2_Evening (17-20),btw_201_102,bus_station,349
2_Evening (17-20),cafeteria_dorm_side,parking_dorm,331
2_Evening (17-20),104_back,lake,307
2_Evening (17-20),108_front_outside,TMB_back,301
2_Evening (17-20),cafeteria_dorm_side,gym_front,278
2_Evening (17-20),203_front,TMB_back,255
2_Evening (17-20),203_front,football_field_front,249
2_Evening (17-20),108_front_outside,bus_station,243
2_Evening (17-20),bridge_main_engineer,lake,231
2_Evening (17-20),dorm_front,parking_dorm,188
2_Evening (17-20),202_front,TMB_back,180
2_Evening (17-20),104_back,TMB_back,174
