day_type,origin,destination,n_trips
Weekday,108_front_outside,lake,3981
Weekday,cafeteria_dorm_side,TMB_back,3731
Weekday,104_back,bus_station,3493
Weekday,104_back,lake,1688
Weekday,cafeteria_dorm_side,gym_front,1673
Weekday,cafeteria_dorm_side,parking_dorm,1496
Weekday,btw_201_102,bus_station,1459
Weekday,108_front_outside,TMB_back,1401
Weekday,203_front,TMB_back,1345
Weekday,203_front,football_field_front,1313
Weekday,bridge_main_engineer,lake,1261
Weekday,203_front,lake,1201
Weekday,202_front,TMB_back,1087
Weekday,202_front,lake,972
Weekday,dorm_front,parking_dorm,929
Weekend,cafeteria_dorm_side,TMB_back,907
Weekend,cafeteria_dorm_side,parking_dorm,585
Weekend,104_back,bus_station,565
Weekend,cafeteria_dorm_side,gym_front,424
Weekend,dorm_front,parking_dorm,347
Weekend,108_front_outside,lake,262
Weekend,dorm_front,TMB_back,218
Weekend,cafeteria_dorm_side,bus_station,213
Weekend,104_back,TMB_back,194
Weekend,203_front,football_field_front,192
Weekend,202_front,TMB_back,189
Weekend,cafeteria_dorm_side,parking_sport,184
Weekend,cafeteria_dorm_side,dorm_front,182
Weekend,bus_station,TMB_back,181
Weekend,btw_201_102,bus_station,173
